module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromJavaType_bytes,80,2,0,2,2,0,False,0,4,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromJavaType_listBytes,92,2,0,2,2,0,False,0,4,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromCtTypeJavaType,103,1,0,1,1,0,False,0,3,0,0,3
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromJavaType_void,116,1,0,1,1,0,False,0,2,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromCtClass,35,1,0,1,1,0,False,0,3,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromCtClass_fullInfo,46,1,0,1,1,0,False,0,3,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromJavaType,56,2,0,2,2,0,False,0,4,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtType,org.apache.servicecomb.common.javassist.TestCtType.fromJavaType_primitive,68,2,0,2,2,0,False,0,4,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtTypeJavaType,org.apache.servicecomb.common.javassist.TestCtTypeJavaType.construct,36,1,0,1,1,0,False,0,2,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtTypeJavaType,org.apache.servicecomb.common.javassist.TestCtTypeJavaType.getGenericSignature,42,0,0,0,0,0,False,0,0,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtTypeJavaType,org.apache.servicecomb.common.javassist.TestCtTypeJavaType.testHashCode,49,0,0,0,0,0,False,0,0,0,0,3
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestCtTypeJavaType,org.apache.servicecomb.common.javassist.TestCtTypeJavaType.testEquals,65,0,0,0,0,0,False,0,0,0,0,3
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.getOrCreateEnumWithClassName_get,180,1,0,1,1,0,False,0,1,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.testField,44,3,0,3,3,0,False,0,15,0,0,5
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.getOrCreateEnumWithClassName_create,190,1,0,1,1,0,False,0,2,1,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.getOrCreateEnumWithPackageName,205,1,0,1,1,0,False,0,3,1,0,4
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.testAddParameter,95,4,0,4,3,1,False,0,9,0,0,6
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.testEnum,229,1,0,1,1,0,False,0,2,1,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.checkEnum,237,0,0,0,0,0,False,0,0,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.TestJavassistUtils,org.apache.servicecomb.common.javassist.TestJavassistUtils.testInterface,122,3,0,3,2,1,False,0,5,0,0,7
